country,iso3,indicator_name,indicator_code,year,value
Azerbaijan,AZE,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,2000,15.1501663805345
Azerbaijan,AZE,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,-167773000.0
Azerbaijan,AZE,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,679605504.08201
Azerbaijan,AZE,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,1585215993.3
Azerbaijan,AZE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2000,
Azerbaijan,AZE,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2000,2118053576.59715
Azerbaijan,AZE,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2000,2023510584.68024
Azerbaijan,AZE,Trade (% of GDP),NE.TRD.GNFS.ZS,2000,78.5485682796041
Azerbaijan,AZE,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,2000,0.632421888297412
Azerbaijan,AZE,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2000,28.7944
Azerbaijan,AZE,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,2000,
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,2000,8076470000.0
"Bahamas, The",BHS,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2000,74.3128576949265
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,4.14841930754267
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,24940.0775086078
